-0.26,1
-0.25,1
-0.24,5
-0.23,16
-0.22,15
-0.21,30
-0.2,38
-0.19,49
-0.18,84
-0.17,147
-0.16,202
-0.15,266
-0.14,392
-0.13,688
-0.12,1040
-0.11,1355
-0.1,1957
-0.09,2658
-0.08,3351
-0.07,4329
-0.06,5485
-0.05,7312
-0.04,10102
-0.03,14716
-0.02,23282
-0.01,34710
-0,43641
0.01,34903
0.02,23425
0.03,14994
0.04,10029
0.05,7097
0.06,5473
0.07,4196
0.08,3434
0.09,2552
0.1,1827
0.11,1412
0.12,891
0.13,670
0.14,424
0.15,286
0.16,204
0.17,180
0.18,141
0.19,90
0.2,53
0.21,30
0.22,19
0.23,20
0.24,10
0.25,4
0.26,1
