-0.24,2
-0.23,9
-0.22,17
-0.21,29
-0.2,54
-0.19,79
-0.18,106
-0.17,174
-0.16,233
-0.15,379
-0.14,635
-0.13,778
-0.12,1172
-0.11,1597
-0.1,2123
-0.09,2898
-0.08,3701
-0.07,4774
-0.06,6168
-0.05,8245
-0.04,11563
-0.03,16440
-0.02,22689
-0.01,31009
0,38402
0.01,31387
0.02,23131
0.03,16130
0.04,11188
0.05,8327
0.06,6041
0.07,4779
0.08,3711
0.09,2811
0.1,2163
0.11,1531
0.12,1057
0.13,866
0.14,576
0.15,383
0.16,296
0.17,175
0.18,139
0.19,103
0.2,51
0.21,28
0.22,14
0.23,29
0.24,11
0.25,13
0.26,16
0.27,4
0.28,1
