-0.29,1
-0.27,1
-0.26,4
-0.25,10
-0.24,15
-0.23,20
-0.22,31
-0.21,41
-0.2,52
-0.19,61
-0.18,113
-0.17,150
-0.16,204
-0.15,357
-0.14,490
-0.13,718
-0.12,1119
-0.11,1528
-0.1,2127
-0.09,2773
-0.08,3629
-0.07,4574
-0.06,6010
-0.05,8231
-0.04,11329
-0.03,16164
-0.02,23812
-0.01,31781
-0,38125
0.01,31834
0.02,23597
0.03,16020
0.04,11160
0.05,8024
0.06,6068
0.07,4701
0.08,3556
0.09,2663
0.1,1986
0.11,1425
0.12,1074
0.13,766
0.14,590
0.15,410
0.16,299
0.17,191
0.18,120
0.19,99
0.2,81
0.21,60
0.22,21
0.23,12
0.24,8
0.25,2
