-0.81,1
-0.76,1
-0.72,1
-0.69,1
-0.67,1
-0.66,3
-0.65,1
-0.64,2
-0.63,2
-0.62,2
-0.61,1
-0.59,3
-0.58,1
-0.57,6
-0.56,1
-0.55,2
-0.54,6
-0.53,3
-0.52,9
-0.51,7
-0.5,6
-0.49,6
-0.48,11
-0.47,10
-0.46,18
-0.45,11
-0.44,14
-0.43,17
-0.42,15
-0.41,17
-0.4,22
-0.39,30
-0.38,35
-0.37,23
-0.36,35
-0.35,32
-0.34,39
-0.33,38
-0.32,65
-0.31,51
-0.3,63
-0.29,77
-0.28,100
-0.27,98
-0.26,131
-0.25,159
-0.24,171
-0.23,194
-0.22,223
-0.21,274
-0.2,294
-0.19,358
-0.18,477
-0.17,494
-0.16,593
-0.15,777
-0.14,961
-0.13,1100
-0.12,1353
-0.11,1653
-0.1,2074
-0.09,2580
-0.08,3224
-0.07,4346
-0.06,5713
-0.05,7843
-0.04,10655
-0.03,15071
-0.02,22093
-0.01,31121
0,38323
0.01,31382
0.02,21980
0.03,15274
0.04,10810
0.05,7754
0.06,5545
0.07,4289
0.08,3351
0.09,2526
0.1,2085
0.11,1653
0.12,1380
0.13,1129
0.14,914
0.15,786
0.16,600
0.17,512
0.18,446
0.19,363
0.2,333
0.21,260
0.22,205
0.23,182
0.24,191
0.25,143
0.26,128
0.27,91
0.28,86
0.29,73
0.3,64
0.31,74
0.32,44
0.33,47
0.34,36
0.35,29
0.36,34
0.37,23
0.38,24
0.39,26
0.4,25
0.41,17
0.42,28
0.43,18
0.44,19
0.45,12
0.46,11
0.47,11
0.48,14
0.49,12
0.5,5
0.51,4
0.52,3
0.53,4
0.54,1
0.55,9
0.56,4
0.58,4
0.59,3
0.6,3
0.61,1
0.62,1
0.63,1
0.64,2
0.67,2
0.68,2
0.7,1
0.73,1
0.76,1
0.86,1
