-0.88,1
-0.83,1
-0.81,1
-0.8,1
-0.79,2
-0.78,3
-0.77,4
-0.76,4
-0.75,9
-0.74,4
-0.73,6
-0.72,4
-0.71,8
-0.7,8
-0.69,8
-0.68,9
-0.67,17
-0.66,8
-0.65,11
-0.64,10
-0.63,18
-0.62,22
-0.61,14
-0.6,32
-0.59,27
-0.58,38
-0.57,49
-0.56,38
-0.55,61
-0.54,53
-0.53,65
-0.52,56
-0.51,76
-0.5,84
-0.49,90
-0.48,90
-0.47,120
-0.46,124
-0.45,156
-0.44,178
-0.43,224
-0.42,245
-0.41,246
-0.4,321
-0.39,365
-0.38,371
-0.37,380
-0.36,436
-0.35,480
-0.34,549
-0.33,632
-0.32,642
-0.31,724
-0.3,830
-0.29,856
-0.28,894
-0.27,1001
-0.26,1063
-0.25,1117
-0.24,1222
-0.23,1313
-0.22,1454
-0.21,1492
-0.2,1644
-0.19,1820
-0.18,1919
-0.17,2179
-0.16,2270
-0.15,2487
-0.14,2790
-0.13,3219
-0.12,3446
-0.11,3911
-0.1,4398
-0.09,4940
-0.08,5835
-0.07,6518
-0.06,7635
-0.05,8546
-0.04,9778
-0.03,10790
-0.02,11764
-0.01,12695
-0,14132
0.01,12810
0.02,11611
0.03,10951
0.04,9755
0.05,8665
0.06,7626
0.07,6673
0.08,5912
0.09,5133
0.1,4487
0.11,3875
0.12,3424
0.13,3059
0.14,2821
0.15,2569
0.16,2229
0.17,2013
0.18,1915
0.19,1847
0.2,1639
0.21,1456
0.22,1418
0.23,1216
0.24,1184
0.25,1156
0.26,1065
0.27,1072
0.28,895
0.29,791
0.3,784
0.31,725
0.32,617
0.33,543
0.34,532
0.35,511
0.36,465
0.37,359
0.38,382
0.39,315
0.4,248
0.41,230
0.42,230
0.43,194
0.44,194
0.45,166
0.46,141
0.47,122
0.48,106
0.49,108
0.5,77
0.51,76
0.52,67
0.53,66
0.54,60
0.55,45
0.56,51
0.57,65
0.58,48
0.59,56
0.6,46
0.61,24
0.62,34
0.63,21
0.64,26
0.65,23
0.66,13
0.67,23
0.68,10
0.69,6
0.7,9
0.71,13
0.72,8
0.73,7
0.74,5
0.75,5
0.76,9
0.77,2
0.78,5
0.79,3
0.8,3
0.81,3
0.82,2
0.84,3
0.88,1
